pmkSong,fnkArtist,fldTerms,fldTitle,fldYear
SOOGFBZ12AC3DF7FF2,ARDD1RC1187B9B52B4,cool jazz,In A Subtle Way,0
SOMSBGZ12AB018C4CB,ARLGWFM1187FB4AC9F,gothic metal,Spin,2007
SONYRZV12AB018AF70,ARWYVP51187B98C516,ska punk,Burning In The Aftermath,2003
SONQBUB12A6D4F8ED0,ARFCUN31187B9AD578,blues,Angie (1993 Digital Remaster),0
SOHGKJW12AC468A8BD,AR6YDKV1187B989230,salsa,Sabor Guajiro,0
SOINBCU12A6D4F94C0,ARV1JVD1187B9AD195,modern rock,Human Cannonball,1995
SOTWVQT12A58A79650,AR7TTS41187B9B42D3,delta blues,Glory Be,2004
SOTSEJY12AB0180F56,ART3O5Z1187B9AB043,texas blues,Crossfire,1992
SOTSETT12AB01863B8,AR5U94U1187FB5CDCF,blues,I Can't Be Satisfied,2002
SOTUNMH12A6D4FA3E6,ARRJNTE1187FB44E12,trip hop,Nashville Parthenon,2006
SOEPPKB12AB018418B,AR6IRG41187B9A4D98,hardcore techno,Cocain Ducks,1995
SOGKIWV12A6D4F86C4,ARS1OWB1187B99EEAD,glam rock,Human Being,1974
SOPHYIS12AAF3B35A3,ARGMXQW1187FB54C34,brazilian jazz,The More I See You,2009
SOFHBAR12A6701D0FE,AROEL1B1187B988B90,gangster rap,Certain Things We Do,1997
SOCPRKM12AB018A2FD,AR8W8DN1187FB35ED0,rock,Forming,1977
SOFGHAM12AB0186412,ARUWLCL1187FB549B8,brazilian jazz,MafuA!,0
SODHVES12A6701CE6B,AR3793X1187FB50CB3,soft rock,Driving Home For Christmas,1986
SOXIATP12AAF3B2184,ARINEWW1187FB5577E,easy listening,Spooks In Space,1966
SOGNQWU12A8AE4868F,ARDGB6U1187FB3AD07,dance rock,Tous Les GarASSons Et Les Filles,1985
SOYQOFI12A6D4F76E1,AR2J2WF1187FB46271,singer-songwriter,Too Much Saturn,1995
SOVOLGY12A6D4F822B,ARUI8651187B9ACF52,experimental rock,Movement 4 [from Kiss] (Album Version),1997
SOMZCVH12AB0182B8E,AR89DTT1187B9A7ED5,meditation,Stream,0
SONXJBL12AAF3B2C0C,ARMD0G81187B99A519,ccm,Make Me Over,0
SOYWZTU12AB0180E26,AR0VZWC1187B99BA57,speedcore,Deform (live),2000
SOLGHDZ12AB0183B11,ARF2EHS1187B994F4E,southern rock,Wicker Chair,2003
SOTNTNJ12AAA15FBD6,ARZKRD01187FB45FD2,zouk,An ti chans',0
SOXZXXV12AAF3B3A67,ARK4H5K1187B992F74,trance,I Will Love Again (JJ's Club Radio),0
SOPIKEG12A58291636,AR06EB01187FB40150,punk,Stickin In My Eye,1992
SOIRNBO12AC468D207,ARKPDBH1242077DEB1,suomi rock,Ota kiinni,0
SOSBDSF12AB0189007,ARBJSO81187B9BA09B,rock,Entre CanAbales,1990
SOIJXXM12A8C1416D6,ARRC2JF1187B9B6A93,easy listening,Rosemary Recalls,1985
SOHMMMC12AB0181C42,ARNIFX51187FB418EA,gabba,Sudanese Dance,2000
SOVJXVJ12A8C13517D,ARCCRTI11F4C845308,ccm,Where The Thunder Roars (Tales Of Wonder Album Version),0
SOFZCTA12AB0188D8F,ARNVH8S1187FB52F86,pop rap,Wanna Be A Player,1997
SOLRYQR12A670215BF,ARNLO5S1187B9B80CC,heavy metal,Panama (Remastered Album Version),0
SOCHRXB12A8AE48069,ARTDQRC1187FB4EFD4,hip hop,Let's Get It Started,2004
SOKBBXO12A6701DEA0,ARK9TRQ1187B99C095,industrial metal,Metal,2000
SOWHYUG12A58A77FAB,ARODBRG1187FB3FD99,rock,She Fell Away (2009 Digital Remaster),0
SOYSTDI12A6D4F6500,ARMBYRO1187FB57419,freestyle,Next Time,0
SOOOROX12A6D4F8400,ARWY7I71187FB36C3D,brill building pop,It's My Party,1963
SONSPZE12AB01819CE,AR6Y22S1187B99906F,melodic hardcore,Complicate It,2001
SOHWGFU12AB017B036,ARI5P4N1187FB3F44D,british pop,Monde De Fou,2005
SOQQVQJ12AB0185192,ARYPWUK1187B98ACED,heavy metal,Opus a Satana (Part 2),0
SODRHHD12AB0189F2A,ARW63KF1187B98AC48,chanson,This Melody (Live),0
SOQGFVO12A8C13C8C3,AR8H87D1187FB3A841,country rock,I'm Gone This Time,0
SORABMD12A8C136672,ARLWR721187B9A03C9,country rock,You Feel Good All Over,2002
SOTUBVH12AB018D2EC,ARF4V431187FB3AA41,folk-pop,Indian Love Call,1990
SOMQAGT12A8C132DB4,ARBGWMW1187B9AEA3E,easy listening,You Can Still Be Free,1999
SOKLLOH12A67020F2C,AR6G4V01187B9AD086,stoner metal,I Never Came,2005
SONRLQH12AB017C232,ARVQ4QM1187B98AD95,western swing,Dixie,0
SODDZAD12A6701DC4C,AR9AM2N1187B9AD2F1,indie rock,Commercial Reign,1990
SORENXV12A6701F61F,AR9XEVF1187B99D017,rap rock,Hourglass,0
SOYMMDY12AB01825B2,ARCFOZ71187FB43A0D,indie rock,Wake,0
SOJWQIP12A6D4F710A,ARHFEBO11F50C4825A,ranchera,Caricia Y Herida,0
SOOVOKS12AB017EE57,AR107SB1187B9A79F9,chanson,Le tortillard,0
SORWHWY12A6702038E,ARXWAQQ1187B9AE954,hip hop,WKYA (drop),2001
SOGYYLE12A8C13E5EA,ARL6XZC1187FB3936E,german pop,TerA$?slintu,0
SOITUXQ12AB0183AE9,ARSDSMG1187B98CB59,easy listening,Now's The Time To Fall In Love,0
SOTWEZZ12A8C142B60,AR3WMW01187B9921F7,breakcore,Grim Prospects (Gross Prospects - Bad Trip Remix),0
SOUVRGZ12A58A77F90,AR3C3C01187B98E800,hard bop,Mangos,1961
SOBLTSM12A6D4F9EEA,ARDD9UN1187B98D3A7,free jazz,A Distant Voice,0
SOUQVUD12A8C142DCE,ARJGNV61187B98F3B5,shoegaze,Openbare Weg,2006
SOCRPDR12AB0185B75,ARSVI4L1187B996181,chill-out,President Johnson,2000
SOXVBVL12AF72A600C,ARVJ0JK1187B98C9C0,gospel,Lead Me Lord,1995
SOIQHDR12AB01896C8,AR4PCIG1187B98D07D,blues-rock,Spontanous Combustion,0
SODLSHA12AAF3B29F2,AR1RHCO1187B9AF0BF,latin jazz,Choro,0
SOAGHMH12AB0180285,AR1X2H01187B98CCF2,chanson,Ma Louise,0
SORAVUP12AB018556E,ARBQBZV1187B99D29E,tech house,I Want You (Forever),1991
SOFXNQP12AB0184F1A,AR9ODB41187FB459B2,hip hop,Hate,1997
SOGQTRZ12A8C13C8B0,ARF3GX71187FB3EB66,country,I Can't Stop Loving You,2005
SOBHVZQ12AC9618285,AR3PN3R1187FB4CEBD,roots reggae,Thank You Lord,1985
SOYPBCY12AB0181EF3,ARYWCFZ11E2835CFDD,freakbeat,How Can You Call That Beautiful (Stewkey Vocal),0
SOWRLSY12AC4687694,ARUT16P1187FB532A4,chicago soul,Cheatin' In The Next Room,0
SOOGQWR12A8C142505,AREOGMA1187B9908EF,blues-rock,Candy Man,1971
SOJDYQY12AB0188C97,AR4ABL21187FB3913A,jazz fusion,I See The Boys Of Summer,0
SOBHQUF12AB018B03E,AR8YV1I1187FB45D2B,delta blues,Three Is a Crowd,0
SOFRAZJ12A8C143CDB,ARR9XGB1187B9912E6,new jack swing,On Bended Knee,1994
SONNDHT12A8C13F20B,ARBKUS51187B98A3AC,piedmont blues,My Four Reasons,0
SOYZOXW12A8C13E195,ARTB5PP1187FB523B7,jazz funk,Little Girl (LP Version),1971
SOSGJTX12AB0181F7C,ARXFQDY1187B9AAF1E,male vocalist,Eternamente Amame,0
SOBQBWP12AB018611B,ARVEJ9M1187FB4DC44,chanson,Niev nietch nievitch,1999
SODULLV12AB017FA09,ARTHEAP122BCFCD0B2,ghetto tech,Come Over,0
SOYAGJM12A8C13DCCE,ARQESNI1187FB511EE,dance pop,Blue Taxi,0
SORXUZZ12A8AE4798A,ARCZ20M1187FB49687,country rock,I Want Love (Tween You & Me) (Album Version),0
SOCHXAE12AF72A25D6,ARDF8K01187FB37200,stoner metal,White Feather,2009
SOCRHCQ12A58A7C8C6,AR11NP91187B9901B4,singer-songwriter,Christlike Roche,1995
SOSEJIQ12AB017E7EB,ARBZAIL1187FB5B1C8,blues-rock,You Rascal You,0
SOMXWXQ12AC3DFA002,ARWXHRS1241B9C7A1E,guitar,Sympathy,0
SOGMXBW12A6D4FB8D7,ARV1P811187FB3CFC6,pop rap,They Say (Album),2007
SOOPUTF12AB018DFAA,ARIU0MA1187B98D36F,progressive house,Simon's Folly,0
SOFDTRZ12AB018DD11,ARB4D891187B9954F7,hip hop,Crawl Before You Ball (Album Version),1999
SOOGNJP12A8C1381AD,ARQOC971187B9910FA,post-grunge,Medicate Myself,2001
SOFUBCP12A8C13D5EF,AR19SOA1187B98F6E6,singer-songwriter,Biding Her Time,1990
SOVZBDR12A6702012E,ARTDBI61187FB48479,gospel,More And More  (LP Version),0
SOPWKSS12AC468E659,ARSE6YI1187B9B9CD2,blue-eyed soul,Cowboy Ways,0
SOCCQIQ12A8C13C76B,AR6C8EJ1187FB3F473,latin jazz,Brasas Vivas,0
SODBMZD12A8C134232,AROI96Z1187B9A5304,vocal house,Kolomeyke,0
SOBUWPY12A8C1446C0,ARIOSKN1257509BCE1,los angeles,In This Life,2009
SORWXUP12A58A79E65,ARI0PUX1187FB3F215,lovers rock,Groovin' In The Midnight,1991
SOJEVZW12A8C133988,ARYO9BU1187B9ADA88,experimental rock,Waiting,1997
SOOODKC12AB018462F,ARZ507V1187FB4425E,arabesque,A'chek Ouyounik (2009 Digital Remaster),0
SODOLVO12B0B80B2F4,AR6XPWV1187B9ADAEB,grunge,Hell,2005
SOEHWGF12A6D4F8B2B,AR6PJ8R1187FB5AD70,dance pop,Hips Don't Lie (featuring Wyclef Jean),0
SOOZLTC12A6D4FBE91,AR4CG3B1187FB5B861,rock,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0
SOOSYMY12AB01888CD,AR7BMMV1187FB5B2D7,blues-rock,I Got Over It (Album Version),1988
SOPBKEB12A6D4FD777,AREYIHC1187B99CE0B,bossa nova,One Less Bell To Answer,0
SOEWQYW12AB0183FDE,AREEMIN11F4C848971,zouk,Festa,0
SOFBQIA12AB0182219,ARBJSO81187B9BA09B,rock,Te Hacen Falta Vitaminas,1984
SOHDDHR12AB0183552,ARBGJLS11F4C83D4B9,thrash core,Sense And Trick,0
SONWQQX12AC3DF6762,ARVNDLR1187B99CA1B,folk-pop,Fire (Oscar G Space Vocal Mix),0
SOGXFIF12A58A78CC4,AR5LZJD1187FB4C5E5,ccm,Hanging On (Medium Key Performance Track Without Background Vocals),0
SOIPNSZ12A8C144128,AR3WMW01187B9921F7,breakcore,Grim Prospects (Version 2 Remix),0
SOEXSIN12A8C133B0A,ARAEX7Y1187FB42D36,dance pop,Christmas In Jamaica,2001
SOTSMNJ12AB018365E,ARK2G5U1187FB46B34,easy listening,Gossippo Perpetuo,2001
SOLGRUN12A8C140543,ARTB56G11C8A41569D,tech house,2190 Dias Contigo,0
SOQCHGV12AC4688FC6,AR0GGKI1187FB391D5,frevo,No Control,0
SOXCWTT12AC9075756,ARZEWUR1187FB53DC8,black metal,The Vitalized Shell,2010
SOAFIPD12A8C13A261,AR89DTT1187B9A7ED5,meditation,Mozart,1989
SOMJPML12A8C13D74E,ARTHKKA122BCFCBF58,serialism,Ciao Milan,0
SOCVDYI12AC4687DDB,ARJDMBO1187B9AD118,roots reggae,Lend Me Your Chopper,2004
SOEVGMZ12A8C1421B5,ARYJSY01187B9B7C65,bluegrass,Letter To Heaven,1971
SOCGURJ12AB0182AEE,AR77FBJ1187FB49D8D,jazz funk,Heaven is Where The Heart Is,0
SOHTWLT12A8C13CFE1,ARFVYJI1187B9B8E13,grunge,Inside Job,2006
SOVQZYP12A8C144692,ARBM4TC1187FB5CE98,vocal jazz,Take A Look  (LP Version),0
SOHHANU12A58A77C66,ARMQHX71187B9890D3,alternative metal,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009
SOTHWPG12AB018C90E,ARYXJ5A1187B9B9E56,flamenco,Bulgarian Dream,0
SOOQHNV12AB0186CD4,ARULHJM1187B997004,blues-rock,Amalgama,0
SOSGXRU12AAF3B2B07,AROTIMO1187FB532BF,gangster rap,Born and Raised In Compton,1991
SOFRUDU12A8C13A40C,AR0X3JJ1187FB3A9A7,honky tonk,We're Gonna Go Fishin',0
SONXLQQ12AB0184B54,AR035N21187FB3938E,electronica,Robbers Kill Cop,0
SOKPHVH12AB0187460,ARA0H5U1187FB47949,vocal house,Relax,2009
SOIUGDX12A6D4FDECA,AR358YS1187FB44A29,country gospel,Sweet By And By,0
SOAYYDM12AB01817E6,ARANOZN1187B9B373E,hardcore punk,Orgofart,1986
SORAJXA12A58A7A4C9,ARHONG11187FB3B120,heavy metal,Bitch Is Back,1988
SODJUNF12A8C13337F,ARRA2F91187B9B4061,post-grunge,Naked Albino,1998
SOVDDWO12A6D4F9A78,ARSGZ3J1187FB3E610,brill building pop,Johnny Loves Me (LP Version),0
SOFGQAP12AB0185946,ARMQ32V1187B9999F3,easy listening,Dearly Beloved,0
SORGLCR12AB0184B69,AR8EDG51187FB41A08,tejano,The Look Of Love,0
SOLBIIE12AB0184DFC,AR1GYND1187B9A9CD3,pop rock,Cooler Than You,1998
SORHOEV12A81C20F71,AR1PCLK1187FB5BBFF,chill-out,Taryns Deepest Fear,0
SOFPYXC12A58A7A4B9,ARF0W6Z1187B9AC325,sympho black metal,Summer Dying Fast,1994
SOFQGCQ12AB0183609,ARWGIOC1187FB4CBEF,chamber jazz,Still,0
SOEBDBO12AC4688712,ARZHLNX1187FB4B8E7,dancehall,Snapshot,0
SONIQSB12AB0189829,ARC25S11187B993923,hard house,End Of The Road (Head Hornys Remix),0
SOYNEII12AB0181DB6,ARKE8PP1187B997DD4,rap,7 Miles,0
SOKIGWD12A6701DE9D,ARK9TRQ1187B99C095,industrial metal,The Frail,1999
SOHXKAN12AC46872F1,ARGTUWC1187B9904A0,gaita,Para Milladoiro,2010
SOQZHMH12A8C13A393,ARFS01P1187B9A395A,honky tonk,Stone Cold Fingers (Bonus Track),0
SOLEYPL12A6D4F83CE,ARGWIHH1187B9A79B0,grime,Snowball,2005
SOZFCNC12A6D4F76F3,AR5MK521187B98E0B8,new romantic,(We Don't Need This) Fascist Groove Thang,1981
SOPUQFS12A8C13DE1E,ARU22AM1187B9961EA,happy hardcore,Drunk Alone,0
SOPNRDT12AB018A2D8,ARTB56G11C8A41569D,tech house,Charisma,0
SOGTLVU12A8AE47D5D,AR93RTI1187B98ECFB,texas blues,Going Down Slow,2000
SOXNMDZ12A6D4FA20D,AR9AN471187B99E0DA,modern rock,All Rise,0
SOGOJBW12AB018513B,ARAR4YH1187B98BF2A,brazil,Jogo Limpo,0
SONNOCP12A8C145220,AR567PN1187FB4B4F2,future jazz,Silent Hill,2009
SOUDHTP12AB0183403,ARYKF861187B99C74B,bossa nova,Our Love Is Here To Stay,0
SOWDEPU12A8C137B14,AR4K59J1187FB3759B,breakbeat,Everything Changes,0
SOJBYGW12A8C13A497,ARLSF8H1187B9A76B0,black metal,Master Of Disharmony,1996
SOQDTQP12A6D4F793F,ARDG9Z71187B997023,dance rock,(This Is Not A) Love Song (Live),1983
SOJHKYL12A6D4FA0AC,AR56P361187B9AC4DB,blues-rock,What Are We Here For,1997
SOJVWBA12AB018C326,ARDDHGI126E2B3AA76,french pop,Une petite pause,2010
SONRSQW12A6D4F6D1C,ARVML631187B99E90D,dance rock,Wig,1986
SONTBYD12A58A77A29,ARBKMHZ11F4C843491,greek,Perasmena Mesanihta,0
SOMKMPB12A8C1447D0,ARD3LXU1187B9ABFC5,punk,God Save the Queen (Live),1988
SOSGQPS12A8AE48538,ARXOTQH1187FB57084,r&b,Forever,0
SOKENJQ12AB017EC8C,ARMG6K31187FB55677,breakbeat,Sun Is Shining,2004
SOBNTXB12A8C1428BA,ARFUSID1241B9C9462,opera,New Age,0
SOIKIJC12AC3DFB3D2,ARC6UC81187B989062,folk-pop,Have Yourself A Merry Little Christmas,2005
SOFJNQR12A6D4FAE92,ARKZJ301187FB521B2,ska,U Killed It,2006
SOGDFIT12AB018528B,ARVKAWO11F50C47C9A,british invasion,Rain And Snow,0
SOOIZTH12AB018C12E,ARHXBJI1241B9C8B7F,turnablism,Gerra De De,0
SOQPJUL12AB0189379,ARTFLEU1269FCD1FE3,pop folk,Kako mi je pitas sad,0
SOMBQEO12A8C135018,AR0LVFQ1187B9A84E0,jazz fusion,Voices On The Corner,0
SOCQWKZ12A8C13CE4C,ARU9KWP1187B98B2A7,alternative hip hop,(Bloody Paw On The) Kill Floor,2007
SONETAN12A58A7ACEB,ARZ05QG1187FB3843E,chicago blues,I Wish My Mother Was Here,1989
SOKEXTF12A8C13AE7E,ARTEGHH1187FB435C8,latin jazz,Inolvidable,2003
SOUJISW12CF4E09416,ARASSX21187FB528B7,breakbeat,Miracle,1996
SOJKDKH12A58A761A2,ARRH2S81187B98C8AA,stoner metal,Witch Weed (Live),1999
SOTWWBZ12AB01845E0,ARSF4161187B9B449F,blues-rock,Not Buried Deep Enough,1995
SOKZTUH12AB018B938,AR87OXB1187FB39E0B,western swing,Give Me 40 Acres (To Turn This Rig Around),0
SOQDTZG12A8C1442E3,ARCLCFS1187B9AE476,latin jazz,Ernesto Nazareth,0
SOIFOLA12AB017CDA1,ARWAPYC1187FB3FCAF,doom metal,The Cube (Live),2001
SOKHVZO12AB0184C4D,ARILV5E1187B9959C8,hard house,Get Back Down,0
SOMISOP12AC468D9D5,ARHSAFX1187B98E89A,world beat,Battle Of The Rosebud / Cries,0
SOOZKNQ12A6D4F6FD4,ARGR9FY1187FB4D0E7,twee pop,Beyond the Light,0
SOGOQGE12AB0182907,ARVG4OK1187B9B6BD3,rock,Spaceman,2008
SOWTIDJ12AB018808C,ARGCY1Y1187B9A4FA5,teen pop,Pulecenella 'e mA2,0
SONIHLC12AB0187B0C,ARYFROT1187B9B78C2,doom metal,Iskorosten' (instr.),0
SOLBHCO12AB018769A,ARIN12F1187FB3E92C,smooth jazz,Big Stax/High Volts (Album Version),0
SOVZVPT12AB018A59E,ARMZ4PD1187B9ACBCD,power pop,It Goes On,0
SOZWDHS12AB0188A33,AR0CWSC1187B9AFE3F,latin pop,Pecado De Amor,0
SOFSKON12A8C13B3B5,ARD5K161187B9AC784,techno,Illuminate,2001
SOBOCAG12A6BD55D56,ARUZRFN1187B98AC05,gangster rap,Never Forget Me,2007
SONCYFS12A8C14261E,ARSTH0R1187B98951E,viking metal,Ukkosenjumalan poika,2001
SOTNBNN12A6D4F6CC7,ARSL5SP1187B9A7AE0,gangster rap,A B***** Is A B***** (Edited),1989
SOXZLDX12A58A7CE52,ARCE0H01187B9AF741,rap metal,Kick Out The Jams,2000
SOEESQT12A8C13C7D5,ARW4AGO1187FB4F107,chicago blues,Me And My Buddy,0
SOSKUNI12AB0187F12,ARZWK2R1187B98F09F,hardcore punk,Amber Changing,2003
SOSLFMU12AB018FFEA,ARDOOH01187B991055,gabba,Murder Academy,1995
SOOKISK12AB0180667,ARMBTFC1187FB56343,rap metal,Hey Daddy,1999
SOVGBEK12A8C134E04,ARBH0MS1187FB36311,requiem,4 Sea Interludes Op. 33a: Storm,0
SORJOMF12AB0186F78,ARTXEZN1187B9B8190,europop,I Need You Now,0
SOVTGXQ12A6D4FB9CA,ARBM57Q1187B9AF97C,rock,Atmosphere Station,1986
SOLKTEK12AB018BE1A,ARED2DG1187FB3CB4D,post-grunge,Walk Away,2009
SODYZIU12A8C13FBD9,ARMQHX71187B9890D3,alternative metal,Shadows That Move,2001
SOJRCDU12AB0189D27,ARNIFX51187FB418EA,gabba,Smile,2000
SOBMHTY12AC9097B7C,AREW1KO1187B98E42E,irish folk,Mountains Of Mourne,0
SOZWHVZ12A6D4F90E7,ARUJ5A41187FB3F5F1,dance rock,Kite Live from Sydney,2007
SOQAHUW12AB0181F04,ARE2BVT1187B9AC9A2,soul jazz,Loco (Crazy),0
SOVHRBI12A81C22E02,ARMBTFC1187FB56343,rap metal,Ever Be,2007
SOHULHF12AB017F6CF,AR97EHA1187B98AD5F,country blues,Oh Look Misery,0
SOFWWGY12AB0185BC5,ARFTMGO1187B9A777A,instrumental pop,Yesterdays,0
SOEETVW12A6D4F93B8,AR5J8XN1187B9B712E,funk metal,Teacher's Pet,0
SOJTIKK12A8C13B15E,AR4B3RX1187B9A868A,soundtrack,Palmer enquAate,2004
SOQBQWN12AB0186782,ARE1N571187B98A47D,rap,Go To Hell,0
SOKLQWF12A8C1423F2,AR8XG9J1187FB418C1,chicago soul,Moon River - Original,0
SORQLMX12A8C133FCD,ARHSS201187B98A8CC,chanson,La Plus Bath Des Javas,0
SOCLQKJ12AF72A4AB0,AR02PUA1187FB52574,gabba,Infidel,0
SODWXQV12A6310F10D,AR6892W1187B9AC71B,british pop,English Summer Rain,2003
SORKRKK12A8C13C12F,ARGNGRI11E2835D567,pop rock,Spanish Shuffle (Album Version),0
SOQPPKZ12A58A7B1EC,ARQDYV0119B866800F,big beat,Intro,2009
SOXSUNF12A8C134195,ARN5W1B1187B98BE10,roots reggae,Empress So Divine,2002
SOVRJYX12AB01844E1,ARBJSO81187B9BA09B,rock,Terapia De Amor Intensiva,1988
SOMOHEI12AB018785F,ARETCTY1187FB4C033,trip hop,Haunting,0
SOOGRLD12A8C132B2F,ARQXR6R1187FB46FD6,hard rock,Lies Of Hate,1998
SODAEVD12AB01886BB,ARP8TSJ1187FB54852,progressive house,The First Noel,0
SOAESJW12A8C137CC2,AR3PN3R1187FB4CEBD,roots reggae,Musical Episode,2005
SOHCYVK12AB017BBF2,ARQGYP71187FB44566,classic country,Beautiful Brown eyes,2001
SOCWXYM12AB018BDF3,ARHVU591187B99F46A,gabba,Drop the Bass,0
SOSYVIZ12A8C141964,ARV2V751187FB4330F,hip hop,The Last Word (Amended Version),2000
SOTVEKK12A8C1392E1,ARX9YIP1187B98A656,hip hop,Hard Times,1984
SOHGAJH12A6D4F8F58,ARPPURC1187B990FB7,orchestra,Just As Much As Ever,0
SOCTSJA12AC9618325,AR0X3JJ1187FB3A9A7,honky tonk,Filipino Baby,0
SOTYCYE12AC468AA08,ARYECMK1187FB5C081,hip hop,The Boss,0
SOAKXET12CF5F86E71,AR74Q3R1187B9B24C3,sympho black metal,Escapist,2007
SOYDHCW12A6D4F9A2E,AR1PCLK1187FB5BBFF,chill-out,Jeffrey's Dark Side,1987
SOGBJSK12AB018D052,AR0G47L1187B98CC6D,orchestra,Someone to Watch Over Me,0
SOSTFTW12A8C13B84A,ARKUP6H1187FB3F8E3,latin jazz,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,0
SOLHFZF12AB018AB3E,ARHRP6Q1187FB3F016,post-grunge,Pinned To The Ground (album version),2002
SOZEHMC12A6D4F9F30,AR10USD1187B99F3F1,post-hardcore,Always And Never (Album Version),2005
SOYHNTG12A6D4F5703,ARTW7I31187B9A4CA9,dance-punk,Myth Takes,2007
SOGBRIU12A582A214C,ARQCMZ01187B99342C,grindcore,Carpe PM,0
SOLCPEB12A58A7BF47,ARSZ6MA1187FB43D29,gangster rap,Who Shot Ya (Amended Album Version),2007
SOFOGMR12A8C140FFF,ARDIBRT1187B9AF176,blues-rock,Poor Tom (Album Version),1982
SOBJYXZ12A8AE45FF1,ARY80281187FB3E380,british pop,Wounded Hearts,2008
SOGJSEF12AB01847D4,ARXSPYZ1187B98972A,rockabilly,Love's Been Good To Me,0
SOCVGQS12A8C13D7DF,ARR2TI31187FB380FE,twee pop,When Morning Comes To Town,1989
SOGVRHK12A8AE47FFB,ARNILB71187B99EC88,hard bop,Estate,0
SOGGYSM12A58A79111,AR0OEYB1187FB4A81E,chill-out,Freedom Enough (From Silent Mother Nature),0
SOHCENZ12A8C13AC85,ARH4N0N1187FB3E1F1,broken beat,Hai Shava,1993
