pmkArtist,fldName,fldLocation
ARTDQRC1187FB4EFD4,Black Eyed Peas,"Los Angeles, CA"
ARK9TRQ1187B99C095,Nine Inch Nails,"Cleveland, OH"
ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,Not available
ARMBYRO1187FB57419,Nadine Renee,Not available
ARWY7I71187FB36C3D,Lesley Gore,"New York, NY"
AR6Y22S1187B99906F,Smartbomb,Not available
ARI5P4N1187FB3F44D,Suburbs,Minnesota
ARYPWUK1187B98ACED,Emperor,Norway
ARW63KF1187B98AC48,Julien Clerc,FR
AR8H87D1187FB3A841,Glen Campbell,"Delight, AR"
ARLWR721187B9A03C9,T.G. Sheppard,"Humboldt, TN"
ARF4V431187FB3AA41,Slim Whitman,"Tampa, FL"
ARBGWMW1187B9AEA3E,Savage Garden,CA
AR6G4V01187B9AD086,Queens Of The Stone Age,Not available
ARVQ4QM1187B98AD95,Hank Penny & The Lincoln Penny Orchestra,"Birmingham, AL"
AR9AM2N1187B9AD2F1,Inspiral Carpets,"Manchester, England"
AR9XEVF1187B99D017,Borialis,Not available
ARCFOZ71187FB43A0D,The Dirty Skirts,Not available
ARHFEBO11F50C4825A,Flor Silvestre,Not available
AR107SB1187B9A79F9,BA(c)zu,"BA(c)zu, comme Superdupont, ne connait qu&#039;un pays : la France !"
ARXWAQQ1187B9AE954,Redman,"Newark, NJ"
ARL6XZC1187FB3936E,Solistiyhtye Suomi,Not available
ARSDSMG1187B98CB59,Eddie Cantor,"New York, NY"
AR3WMW01187B9921F7,Schizoid,Not available
AR3C3C01187B98E800,Kai Winding,"Aarhus, Denmark"
ARDD9UN1187B98D3A7,Sonny Simmons,"Sicily Island, LA"
ARJGNV61187B98F3B5,Mira,"Tallahassee, FL"
ARSVI4L1187B996181,Citizen Kaned,Not available
ARVJ0JK1187B98C9C0,The Brooklyn Tabernacle Choir,Not available
AR4PCIG1187B98D07D,Ellen McIlwaine,"Nashville, TN"
AR1RHCO1187B9AF0BF,Vince Guaraldi / Bola Sete,"San Francisco, CA"
AR1X2H01187B98CCF2,Maurice Chevalier,"Menilmontant, France"
ARBQBZV1187B99D29E,Carl Cox Vs Yousef,Not available
AR9ODB41187FB459B2,Organized Konfusion,"SPRINGFIELD, Virginia"
ARF3GX71187FB3EB66,Martina McBride,"Medicine Lodge, KS"
AR3PN3R1187FB4CEBD,Horace Andy,"Kingston, Jamaica"
ARYWCFZ11E2835CFDD,Nazz,Not available
ARUT16P1187FB532A4,Tyrone Davis,"Greenville, MS"
AREOGMA1187B9908EF,Hot Tuna,"San Francisco, CA"
AR4ABL21187FB3913A,Richard Burton,Pennsylvania
AR8YV1I1187FB45D2B,Rory Block,"New York, NY"
ARR9XGB1187B9912E6,Boyz II Men,"Philadelphia, PA"
ARBKUS51187B98A3AC,Howard Armstrong,"Dayton, TN"
ARTB5PP1187FB523B7,Donny Hathaway,"Chicago, IL"
ARXFQDY1187B9AAF1E,Miguel Gallardo,Not available
ARVEJ9M1187FB4DC44,Les Ogres De Barback,Not available
ARTHEAP122BCFCD0B2,DJ X-Change featuring DJ Joey A,Not available
ARQESNI1187FB511EE,Morel,Washington DC
ARCZ20M1187FB49687,Tony Joe White,"Goodwill, LA"
ARDF8K01187FB37200,Wolfmother,"Sydney, Australia"
AR11NP91187B9901B4,The Roches,New York City
ARBZAIL1187FB5B1C8,Bob Margolin,"Boston, MA"
ARWXHRS1241B9C7A1E,Thomas Battenstein,Not available
ARV1P811187FB3CFC6,Jupiter Rising,Not available
ARIU0MA1187B98D36F,Dharma Bums,Not available
ARB4D891187B9954F7,Saafir,Not available
ARQOC971187B9910FA,The Verve Pipe,"Lansing, MI"
AR19SOA1187B98F6E6,Bob Neuwirth,New York
ARTDBI61187FB48479,Marvin Sapp,"Grand Rapids, MI"
ARSE6YI1187B9B9CD2,James Hunter,Austin
AR6C8EJ1187FB3F473,Nelson Ned," UbA!, Minas Gerais"
AROI96Z1187B9A5304,Mish Mash,Not available
ARIOSKN1257509BCE1,Cama,Not available
ARI0PUX1187FB3F215,Maxi Priest,Great Britain / UK
ARYO9BU1187B9ADA88,Porcupine Tree,Not available
ARZ507V1187FB4425E,Ragheb Alama,Not available
AR6XPWV1187B9ADAEB,Foo Fighters,"Seattle, WA"
AR6PJ8R1187FB5AD70,Shakira Featuring Wyclef Jean,"Barranquilla, Colombia"
AR4CG3B1187FB5B861,The Avengers,California - SF
AR7BMMV1187FB5B2D7,Robben Ford,"Ukiah, CA"
AREYIHC1187B99CE0B,Brazilian Tropical Orchestra,Not available
AREEMIN11F4C848971,Gil Semedo,Netherlands
ARBGJLS11F4C83D4B9,Xmilk,Not available
ARVNDLR1187B99CA1B,Dolce; Oscar G.,Oklahoma
AR5LZJD1187FB4C5E5,Britt Nicole, NC
ARAEX7Y1187FB42D36,Toni Braxton Featuring Shaggy,"Severn, MD"
ARK2G5U1187FB46B34,Perrey And Kingsley,Not available
ARTB56G11C8A41569D,Sven Tasnadi,Not available
AR0GGKI1187FB391D5,Eddie,Not available
ARZEWUR1187FB53DC8,Enthroned,"Belgica -- Namur, Namur/Ghent, East Flanders"
ARTHKKA122BCFCBF58,Milan Band,Not available
ARJDMBO1187B9AD118,Johnny Osbourne,Not available
ARYJSY01187B9B7C65,Dolly Parton,"Locust Ridge, TN"
AR77FBJ1187FB49D8D,Rance Allen Group,"Detroit, MI"
ARFVYJI1187B9B8E13,Pearl Jam,"Seattle, WA"
ARBM4TC1187FB5CE98,Natalie Cole,"Los Angeles, CA"
ARMQHX71187B9890D3,Mastodon,"Atlanta, GA"
ARYXJ5A1187B9B9E56,Kiril Valeri,Jerez De La Frontera (CA!diz)
ARULHJM1187B997004,Word,Not available
AROTIMO1187FB532BF,DJ Quik,Compton CA
AR0X3JJ1187FB3A9A7,Hank Locklin,"McLellan, FL"
AR035N21187FB3938E,BT,Earth
ARA0H5U1187FB47949,2-4 Grooves feat. Reki D.,Not available
AR358YS1187FB44A29,The Jordanaires,"Springfield, MO"
ARANOZN1187B9B373E,Descendents,"Los Angeles, CA"
ARHONG11187FB3B120,L.A. Guns,katy
ARRA2F91187B9B4061,Bare Jr.,Not available
ARSGZ3J1187FB3E610,Shelley Fabares,"Santa Monica, CA"
ARMQ32V1187B9999F3,Norrie Paramor,England
AR8EDG51187FB41A08,Gary Hobbs,Not available
AR1GYND1187B9A9CD3,Diesel Boy,"Santa Rosa, California"
AR1PCLK1187FB5BBFF,Angelo Badalamenti,New Jersey
ARF0W6Z1187B9AC325,Cradle Of Filth,Not available
ARWGIOC1187FB4CBEF,Jim Chappell,United States
ARZHLNX1187FB4B8E7,Ladybug,NY - New York City
ARC25S11187B993923,Bandido,Not available
ARKE8PP1187B997DD4,Brixx,Not available
ARGTUWC1187B9904A0,Susana Seivane,Not available
ARFS01P1187B9A395A,Leland Martin,"Blandford, MA"
ARGWIHH1187B9A79B0,Test Icicles,Not available
AR5MK521187B98E0B8,Heaven 17,"London, England"
ARU22AM1187B9961EA,React,Not available
AR93RTI1187B98ECFB,Mance Lipscomb,"Navasota, TX"
AR9AN471187B99E0DA,Scott Wesley Brown,Atlanta Georgia USA
ARAR4YH1187B98BF2A,FlA!vio JosA(c),Not available
AR567PN1187FB4B4F2,Moss,Not available
ARYKF861187B99C74B,Pery Ribeiro,Not available
AR4K59J1187FB3759B,Soular,Oregon
ARLSF8H1187B9A76B0,Dimmu Borgir,"Oslo, Norway"
ARDG9Z71187B997023,Public Image Ltd,"London, England"
AR56P361187B9AC4DB,Gary Moore,"Belfast, Northern Ireland"
ARDDHGI126E2B3AA76,Pascal Sangla,Not available
ARVML631187B99E90D,The B-52's,"Athens, GA"
ARBKMHZ11F4C843491,Dakis,Not available
ARD3LXU1187B9ABFC5,Sex Pistols,Not available
ARXOTQH1187FB57084,Chris Brown,"Fairfax, California"
ARMG6K31187FB55677,Deekline & Wizard,Not available
ARFUSID1241B9C9462,Daniela DessA!,Genova
ARC6UC81187B989062,Hem,NY - New York City
ARKZJ301187FB521B2,Lily Allen,LDN
ARVKAWO11F50C47C9A,Pentangle,Not available
ARHXBJI1241B9C8B7F,DJ Dips,Not available
ARTFLEU1269FCD1FE3,Ana Bekuta,Not available
AR0LVFQ1187B9A84E0,Jason Miles,NY - New York City
ARU9KWP1187B98B2A7,Busdriver,Not available
ARZ05QG1187FB3843E,Byther Smith,"Monticello, MS"
ARTEGHH1187FB435C8,Bebo & Cigala,Not available
ARASSX21187FB528B7,Bizarre Inc,"Stafford, England"
ARRH2S81187B98C8AA,Bongzilla,"Madison, Wisconsin"
ARSF4161187B9B449F,The Gone Jackals,Not available
AR87OXB1187FB39E0B,The Willis Brothers,Not available
ARCLCFS1187B9AE476,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,"Sao Paulo, Brazil"
ARWAPYC1187FB3FCAF,S.U.P,Not available
ARILV5E1187B9959C8,Boogie Pimps,Not available
ARHSAFX1187B98E89A,Brian Keane,Texas
ARGR9FY1187FB4D0E7,Aberdeen,"Poza Rica, MX"
ARVG4OK1187B9B6BD3,The Killers,Not available
ARGCY1Y1187B9A4FA5,Gloriana,"Nashville, TN."
ARYFROT1187B9B78C2,Butterfly Temple,Not available
ARIN12F1187FB3E92C,Grant Geissman,"PEARLINGTON, Mississippi"
ARMZ4PD1187B9ACBCD,20/20,Not available
AR0CWSC1187B9AFE3F,JosA(c) Augusto,Not available
ARD5K161187B9AC784,Orbital,"Sevenoaks, United Kingdom"
ARUZRFN1187B98AC05,Bone Thugs-N-Harmony / Akon,"Cleveland, OH"
ARSTH0R1187B98951E,Moonsorrow,Not available
ARSL5SP1187B9A7AE0,N.W.A.,"Compton, California, USA."
ARCE0H01187B9AF741,Rage Against The Machine,"Los Angeles, CA"
ARW4AGO1187FB4F107,Jazz Gillum,"Indianola, MS"
ARZWK2R1187B98F09F,Rise Against,Chicago
ARDOOH01187B991055,Ultraviolence,Not available
ARMBTFC1187FB56343,Korn,"Bakersfield, CA"
ARBH0MS1187FB36311,Sir Neville Marriner,Not available
ARTXEZN1187B9B8190,Agnes,Sweden
ARBM57Q1187B9AF97C,James Horner,"Los Angeles, CA"
ARED2DG1187FB3CB4D,Tantric,Not available
AREW1KO1187B98E42E,The Irish Tenors,Not available
ARUJ5A41187FB3F5F1,U2,"Dublin, Ireland"
ARE2BVT1187B9AC9A2,Little Joe,Not available
AR97EHA1187B98AD5F,Blind Blake & The Royal Victoria Hotel Calypsos,"Jacksonville, FL"
ARFTMGO1187B9A777A,Percy Faith,"Toronto, Ontario, Canada"
AR5J8XN1187B9B712E,Extreme,Not available
AR4B3RX1187B9A868A,Alexandre Desplat,Not available
ARE1N571187B98A47D,Prozak,London
AR8XG9J1187FB418C1,Jerry Butler,"Sunflower, MS"
ARHSS201187B98A8CC,Yvette Horner,Not available
AR02PUA1187FB52574,Delta 9,Not available
AR6892W1187B9AC71B,Placebo,"London, England"
ARGNGRI11E2835D567,Tam Tam Go!,Not available
ARQDYV0119B866800F,Gertrudis,Not available
ARN5W1B1187B98BE10,Warrior King,Not available
ARETCTY1187FB4C033,LORE,Not available
ARQXR6R1187FB46FD6,Soul Asylum,"Minneapolis, MN"
ARP8TSJ1187FB54852,Carl Doy with NZSO,Not available
ARHVU591187B99F46A,The Nightraver & The Magican,Not available
ARV2V751187FB4330F,Rah Digga (Featuring Outsidaz),New Jersey
ARX9YIP1187B98A656,RUN-DMC,Not available
ARPPURC1187B990FB7,Bert Kaempfert And His Orchestra,Not available
ARYECMK1187FB5C081,Lady May,Windhoek
AR74Q3R1187B9B24C3,Nightwish,"Kitee, Finland"
AR0G47L1187B98CC6D,Frank Chacksfield,"Battle, Sussex, England"
ARKUP6H1187FB3F8E3,Cesar Camargo Mariano/Helio Delmiro,Not available
ARHRP6Q1187FB3F016,Buzzhorn,"Milwaukee, WI"
AR10USD1187B99F3F1,Silverstein,"Burlington, Ontario, Canada"
ARTW7I31187B9A4CA9,!!!,Not available
ARQCMZ01187B99342C,The Secret Life of Teenage Girls,Not available
ARSZ6MA1187FB43D29,The Notorious B.I.G.,Not available
ARDIBRT1187B9AF176,Led Zeppelin,England
ARY80281187FB3E380,Sandi Thom,Scotland
ARXSPYZ1187B98972A,Carl Belew,"Salina, OK"
ARR2TI31187FB380FE,The Field Mice,Not available
ARNILB71187B99EC88,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,"Los Angeles, CA"
AR0OEYB1187FB4A81E,Catherine Howe,"Yorkshire, England"
ARH4N0N1187FB3E1F1,Malkit Singh,Not available
ARDQO721187FB3C6D9,Rodney O & Joe Cooley,Not available
ARIFGKC1187B9B04D5,Dean Martin,"Steubenville, OH"
AR4IWYN1187FB47DF6,Strata,"Campbell, CA"
AR9YQN31187FB45B34,James Darren,"Philadelphia, PA"
ARV3IN31187FB4AAAE,Till West & DJ Delicious,Not available
ARCID1N1187FB51DA0,Carlos NuA+-ez,Not available
ARKCTSM11F4C83C839,Igor Stravinsky,Not available
AR7JBP41187FB3EA8A,Gene Clark,"Los Angeles, CA"
ARAHQDS1187FB55275,Maysa,Not available
ARALP6I1187B989E27,The Shirelles,"Passaic, NJ"
AR23EC41187FB4805D,The American Boychoir,New Jersey
AR8JSAL1187FB3CE7E,JDS,Not available
ARL6FF81187FB5A916,Panic At The Disco,"Las Vegas, NV"
AR9EZGO1187B9A401F,Jan Howard,"West Plains, MO"
ARLDW6Z1187FB3F2A0,Abraham Laboriel,"Mexico City, Mexico"
ARKA2YS1187B9A4060,"MichA""le Arnaud",Not available
AR1QXAQ1187FB47FAC,Sticky Fingaz,"Brookyln, NY"
ARKSBCO1241B9CE46E,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,Not available
AR76DOS1187FB5AE78,The Jeff Healey Band,Not available
AR4OHL91187B9B2EB9,Angela Dimitriou,Not available
AR6QQY41187B990574,Danny Wilson,"Dundee, Scotland"
ARN8NCB1187FB49652,Lionel Rogg,"Geneva, Switzerland"
AREHMUC1187B98B91B,Java,Not available
ARXG6L11187FB5695E,SWAMI featuring Asuivre,"Birmingham/ London, UK"
ARO2EDF1187B993BD8,The Black Velvet Band,Not available
ARU0HTX1187B98B4C6,Lisa Lynne,California - LA
ARVMPJC1187FB3B954,Pe'z,Not available
ARDW5AW1187FB55708,Shawn Colvin,"Vermillion, SD"
ARHNL9K1187FB5730C,Stephy Tang,Not available
AR3JMC51187B9AE49D,Backstreet Boys,"Orlando, FL"
ARPBNLO1187FB3D52F,Tiny Tim,"New York, NY"
AR9AWNF1187B9AB0B4,Kenny G featuring Daryl Hall,"Seattle, Washington USA"
AROGWRA122988FEE45,Christos Dantis,Not available
ARMBR4Y1187B9990EB,David Martin,California - SF
ARQ9BO41187FB5CF1F,John Davis,Pennsylvania
ARKULSX1187FB45F84,Trafik,Utah
ARI2JSK1187FB496EF,Nick Ingman;Gavyn Wright,"London, England"
AREDBBQ1187B98AFF5,Eddie Calvert,Not available
AR7ZKHQ1187B98DD73,Glad,Not available
ARBGXIG122988F409D,Steel Rain,California - SF
AR7SMBG1187B9B9066,Los Manolos,Not available
AR36F9J1187FB406F1,Bombay Rockers,Denmark
ARNNKDK1187B98BBD5,Jinx,Zagreb Croatia
AR62SOJ1187FB47BB5,Chase & Status,Not available
ARBEBBY1187B9B43DB,Tom Petty,"Gainesville, FL"
ARDR4AC1187FB371A1,Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,Not available
ARAGB2O1187FB3A161,Pucho & His Latin Soul Brothers,Not available
AREDL271187FB40F44,Soul Mekanik,Not available
ARP6N5A1187B99D1A3,Mitch Ryder,"Hamtramck, MI"
ARGSAFR1269FB35070,Blingtones,Not available
ARULZCI1241B9C8611,Luna Orbit Project,Not available
AR0IAWL1187B9A96D0,Danilo Perez,Panama
ARJIE2Y1187B994AB7,Line Renaud,Not available
ARLTWXK1187FB5A3F8,King Curtis,"Fort Worth, TX"
ARNF6401187FB57032,Sophie B. Hawkins,"New York, NY [Manhattan]"
ARPFHN61187FB575F6,Lupe Fiasco,"Chicago, IL"
AR051KA1187B98B2FF,Wilks,Not available
AR8IEZO1187B99055E,Marc Shaiman,Not available
AR558FS1187FB45658,40 Grit,Not available
ARVBRGZ1187FB4675A,Gwen Stefani,Not available
ARWB3G61187FB49404,Steve Morse,"Hamilton, Ohio"
AREVWGE1187B9B890A,Bitter End,Noci (BA)
AR2JD2Z1187B998A90,Ethel Merman,"New York, NY [Astoria, Queens]"
AR7TTCH1187FB3F95C,Leon Russell & New Grass Revival,"Lawton, OK"
ARF6ZTO1187FB3684F,Story Of The Year,"LONG BEACH, California"
ARPYBWQ1187B989C0D,Natural Elements,Not available
ARUE3AK1187B9AC923,Neil Sedaka,"Brooklyn, NY"
AR6W9T51187B9A8B8E,Maurice Larcange,Not available
ARQ05GM1187B990512,A Static Lullaby,"Chino Hills, CA"
AR1Y2PT1187FB5B9CE,John Wesley_ John Wesley,Brandon
ARXN7S71187B9941BE,Coph Nia,Not available
AR1072G1187FB5B351,Tabu feat. Mitzib,Texas
ARXIIEY1187FB44EAF,Nights Like These,"Memphis, TN"
ARBUOOR1187B997391,Oasis,"Manchester, England"
ARQ9BO41187FB5CF1F,John Davis & Emma Doyle,Pennsylvania
ARGC7FQ1187FB409CC,Stew,New York
ARRS5961187B99F9DE,Jauida,Not available
AR14CJ91187FB3A994,Eddy Arnold,"Madisonville, TN"
ARJV0U41187B9AB715,All Time Low,"Baltimore, MD"
AR502DZ1187B98F8E1,Brian Dullaghan,Not available
ARWI6LR1187FB46E9F,Richard Galliano,"Le Cannet, France"
AR0AVIB1187FB37D01,Regina Belle,"Englewood, NJ"
AR7OCK81187B98D1F1,Debbie Davies,"Los Angeles, CA"
ARABFU01187FB46712,STEVE CAMP,Not available
ARF88UQ1187FB5A3E9,Jay Tee & Baby Bash,California - SF
ARQZTGO11E8F5C0768,The Stolen Minks,Not available
AR08GQF1187B98E316,Daath,Not available
ARZGMLE11F4C840C9D,Extasick,Not available
AROATPL1187FB48E12,UFO,Arizona
ARBXIDR1187B9AB77E,Avril - Remix By Ana Rago,Not available
ARYCP7D1187B99516B,Pat Travers,"Toronto, Canada"
ARVN9FZ1187FB393F1,SNOWPATROL,"Dundee, Scotland"
ARMD6JB1187FB3B0E7,Die Fantastischen Vier,Germany
ARFAGIR1187B997EA1,Jeanie Lambe & The Danny Moss Quartet,Not available
AROHMXL1187B9AF4B2,Yung Joc,"College Park, Georgia"
ARWNRBH1187B9B7E68,Philippe Sarde,"Neuilly-sur-Seine, France"
ARRVUWA1187B9A0FE2,Orquesta AragA3n,Cuba
ARZCEOJ1187B9A91C0,State of Chaos,Not available
ARD2NDU1187B99B615,Dropkick Murphys,"Boston, MA"
AREJO121187B995676,Taint,Not available
AR5WPYF1187B9B40DA,VHS Or Beta,"Louisville, KY"
ARN5BHA1187B99E072,Leonard Kwan,Not available
ARUZL121187FB4B42D,True Believers,Not available
ARW040W1187FB51082,Les Hurlements D'leo,Not available
ARQ7XJG1187B991CEC,Charanga Forever,Not available
AR7S48C1187B99711E,Zuzu Bollin,"Frisco, TX"
ARM7C1Q1187FB471C8,Bullet For My Valentine,"Bridgend, South Wales, UK"
ARYHTYH11EBCD7C884,The Hit Factory,Not available
AR7UOUK1187B99078C,Terry Snyder,Not available
ARGEKDX1187FB3A5BF,Marcus Miller,"Brooklyn, NY"
ARNQESK11F4C83FD6F,Beatnuts,Not available
ARN03F71187FB4E3F4,Ayo,United States
ARJ9B1V1187FB4DD1F,Kid Sister,Chicago IL
ARSS1OZ1187FB54440,Mons Leidvin Takle,Not available
ARNNQ9E1187FB3C82F,Sizzla,Not available
ARWSMC91187B9AD369,Helen Love,"Cardiff, Wales"
ARZAXOR11F4C83EB65,David Mingyue Liang,Not available
ARFK98R1187B9B0552,Pursuit Of Happiness,"Toronto, Ontario, Canada"
ARU9Q5Q1187FB3D6EB,Bobby Hutcherson,"Los Angeles, CA"
AR57Z841187B9B7D7D,Gregory Isaacs,"Kingston, Jamaica"
AR82DJK1187B991107,The Pharcyde,"Los Angeles, CA"
ARMUC731187B9A172D,Azis,Not available
ARWD25M1187FB4C563,Amy Winehouse,London
ARYF20K1187B9B76BD,George Lopez,"ORANGE, California"
ARRESZG1187B9A3FBF,Les Hou-Lops,Not available
ARD88QA119B3403A02,The Cosmosamatics,Not available
ARIHI8H1187B9B0058,Jackie Edwards,Jamaica
ARHO1WI1187B98CB84,Michael Card,Not available
ARUWB5W1187B98D7A1,Ensiferum,"Helsinki, Finland"
ARR9XHK1187FB3894D,Leila Chicot,FRANCE
AR82DJK1187B991107,The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,"Los Angeles, CA"
ARIUQZL1187FB4303B,Erkki Junkkarinen,Not available
ARBD4QW1187FB42153,Scar Symmetry,Sweden
AR8QW7Y119B866993A,Oztara,Not available
ARJAVK71187B989FEF,Sonia Dersion,Not available
AR0S7TA1187FB4D024,Christina Aguilera,Not available
ARVD9M11187FB49291,Headhunter,Not available
ARV1ALU1187FB4D77E,Eighteen Visions,"Orange County, CA"
ARVZPW91187FB4D73C,Baby Huey & The Baby Sitters,Not available
ART70HI1187B9A37BC,Elmore James,"Richland, MS"
ARCICZN11EB9C810B3,Rising Lion,Florida
ARW9QSZ1187FB4B93E,George Harrison,"Liverpool, England"
AR633SY1187B9AC3B9,Weezer,Not available
ARUF71J1187FB511C1,Boots Randolph,"Paducah, KY"
AREP8KM1187B9A3A7B,Jackson United,Not available
ARQXAUH1187B9BA010,Bobbie Gentry,"Chickasaw County, MS"
ARLH4CH11C8A4173EC,Creedence Clearwater Revived,Lanciano Italy
ARRHVVL1187B991E41,The Johnny Otis Orchestra,"Vallejo, CA"
ARCEOW71187B9A5A71,B.A.D.,"London, England"
ARHBYTA1187FB3C812,Luar Na Lubre,Not available
ARX0IEI1187FB4FF4B,Circular,"Bergen, Norway"
ARHEQ501187FB4F898,Fruko Y Sus Tesos,Not available
AR19GQN1187FB3ACF5,The Bucketheads,"New York, NY"
ARIPLUN1187B99B9F9,The Police,"London, England"
ARM9Q581187B98E984,Kinky,"Monterrey, Nuevo LeA3n, MA(c)xico"
AR3752L1187FB4B67E,The Real Kids,Not available
ARR8AIK1187B9A0BCE,Eddie Boyd,"Stovall, MS"
ARIFTCD11F4C84086D,Tha Chamba,Not available
AR6BIWA1187B9ABAE8,Jack Orsen & Taktlo$$,Not available
ARYWU5F1187B9A77BE,Olov Johansson_ Catriona Mckay,Not available
AR37ILI1187B98E27B,Shriekback,"London, England"
ARPKATM1187B9B76E6,Hatebreed,"New Haven, CT"
ARFZSPU1187B9B5BA9,John Frizzell,Not available
AREPD8D1187FB3F5BC,Sister Hazel,"Gainesville, FL"
AR93D4D1187FB3ACAD,J.J. Cale,"Oklahoma City, OK"
AR858UO1187FB437B4,Precious Bryant,North Carolina
AROF4LP1187FB41C51,Selena,Texas
AR8LMZM1187B9A8160,Brooke Valentine,"Houston, TX"
AREUYDJ1187B9BA040,Krystof,"HavAAov, AeskA! republika"
ARCP8YG1187B997D72,Claire Hamill,UK - England - South East
ARP07GD1187B9B9DA4,Los Originales De San Juan,Not available
ARQ76LG1187B9ACD84,Black Flag,"Los Angeles, CA"
